ZIP (character),State,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh),ZIP5,rate_lb_per_mwh,norm_factor_vs_us_mean
86547,AZ,NWPP,605.872,86547,605.872,0.732153905645785
86555,AZ,AZNM,779.382,86555,779.382,0.941828596287703
86556,AZ,NWPP,605.872,86556,605.872,0.732153905645785
87001,NM,AZNM,779.382,87001,779.382,0.941828596287703
87002,NM,AZNM,779.382,87002,779.382,0.941828596287703
87004,NM,AZNM,779.382,87004,779.382,0.941828596287703
87005,NM,AZNM,779.382,87005,779.382,0.941828596287703
87006,NM,AZNM,779.382,87006,779.382,0.941828596287703
87007,NM,AZNM,779.382,87007,779.382,0.941828596287703
87008,NM,AZNM,779.382,87008,779.382,0.941828596287703
87009,NM,AZNM,779.382,87009,779.382,0.941828596287703
87010,NM,AZNM,779.382,87010,779.382,0.941828596287703
87011,NM,AZNM,779.382,87011,779.382,0.941828596287703
87012,NM,AZNM,779.382,87012,779.382,0.941828596287703
87013,NM,AZNM,779.382,87013,779.382,0.941828596287703
87014,NM,AZNM,779.382,87014,779.382,0.941828596287703
87015,NM,AZNM,779.382,87015,779.382,0.941828596287703
87016,NM,AZNM,779.382,87016,779.382,0.941828596287703
87017,NM,AZNM,779.382,87017,779.382,0.941828596287703
87018,NM,AZNM,779.382,87018,779.382,0.941828596287703
87020,NM,AZNM,779.382,87020,779.382,0.941828596287703
87021,NM,AZNM,779.382,87021,779.382,0.941828596287703
87022,NM,AZNM,779.382,87022,779.382,0.941828596287703
87023,NM,AZNM,779.382,87023,779.382,0.941828596287703
87024,NM,AZNM,779.382,87024,779.382,0.941828596287703
87025,NM,AZNM,779.382,87025,779.382,0.941828596287703
87026,NM,AZNM,779.382,87026,779.382,0.941828596287703
87027,NM,AZNM,779.382,87027,779.382,0.941828596287703
87028,NM,AZNM,779.382,87028,779.382,0.941828596287703
87029,NM,AZNM,779.382,87029,779.382,0.941828596287703
87031,NM,AZNM,779.382,87031,779.382,0.941828596287703
87032,NM,AZNM,779.382,87032,779.382,0.941828596287703
87034,NM,AZNM,779.382,87034,779.382,0.941828596287703
87035,NM,AZNM,779.382,87035,779.382,0.941828596287703
87036,NM,AZNM,779.382,87036,779.382,0.941828596287703
87037,NM,NWPP,605.872,87037,605.872,0.732153905645785
87038,NM,AZNM,779.382,87038,779.382,0.941828596287703
87040,NM,AZNM,779.382,87040,779.382,0.941828596287703
87041,NM,AZNM,779.382,87041,779.382,0.941828596287703
87042,NM,AZNM,779.382,87042,779.382,0.941828596287703
87043,NM,AZNM,779.382,87043,779.382,0.941828596287703
87044,NM,AZNM,779.382,87044,779.382,0.941828596287703
87045,NM,AZNM,779.382,87045,779.382,0.941828596287703
87046,NM,AZNM,779.382,87046,779.382,0.941828596287703
87047,NM,AZNM,779.382,87047,779.382,0.941828596287703
87048,NM,AZNM,779.382,87048,779.382,0.941828596287703
87049,NM,AZNM,779.382,87049,779.382,0.941828596287703
87051,NM,AZNM,779.382,87051,779.382,0.941828596287703
87052,NM,AZNM,779.382,87052,779.382,0.941828596287703
87053,NM,AZNM,779.382,87053,779.382,0.941828596287703
87056,NM,AZNM,779.382,87056,779.382,0.941828596287703
87059,NM,AZNM,779.382,87059,779.382,0.941828596287703
87060,NM,AZNM,779.382,87060,779.382,0.941828596287703
87061,NM,AZNM,779.382,87061,779.382,0.941828596287703
87062,NM,AZNM,779.382,87062,779.382,0.941828596287703
87063,NM,AZNM,779.382,87063,779.382,0.941828596287703
87064,NM,AZNM,779.382,87064,779.382,0.941828596287703
87068,NM,AZNM,779.382,87068,779.382,0.941828596287703
87070,NM,AZNM,779.382,87070,779.382,0.941828596287703
87072,NM,AZNM,779.382,87072,779.382,0.941828596287703
87083,NM,AZNM,779.382,87083,779.382,0.941828596287703
87101,NM,AZNM,779.382,87101,779.382,0.941828596287703
87102,NM,AZNM,779.382,87102,779.382,0.941828596287703
87103,NM,AZNM,779.382,87103,779.382,0.941828596287703
87104,NM,AZNM,779.382,87104,779.382,0.941828596287703
87105,NM,AZNM,779.382,87105,779.382,0.941828596287703
87106,NM,AZNM,779.382,87106,779.382,0.941828596287703
87107,NM,AZNM,779.382,87107,779.382,0.941828596287703
87108,NM,AZNM,779.382,87108,779.382,0.941828596287703
87109,NM,AZNM,779.382,87109,779.382,0.941828596287703
87110,NM,AZNM,779.382,87110,779.382,0.941828596287703
87111,NM,AZNM,779.382,87111,779.382,0.941828596287703
87112,NM,AZNM,779.382,87112,779.382,0.941828596287703
87113,NM,AZNM,779.382,87113,779.382,0.941828596287703
87114,NM,AZNM,779.382,87114,779.382,0.941828596287703
87115,NM,AZNM,779.382,87115,779.382,0.941828596287703
87116,NM,AZNM,779.382,87116,779.382,0.941828596287703
87117,NM,AZNM,779.382,87117,779.382,0.941828596287703
87119,NM,AZNM,779.382,87119,779.382,0.941828596287703
87120,NM,AZNM,779.382,87120,779.382,0.941828596287703
87121,NM,AZNM,779.382,87121,779.382,0.941828596287703
87122,NM,AZNM,779.382,87122,779.382,0.941828596287703
87123,NM,AZNM,779.382,87123,779.382,0.941828596287703
87124,NM,AZNM,779.382,87124,779.382,0.941828596287703
87125,NM,AZNM,779.382,87125,779.382,0.941828596287703
87131,NM,AZNM,779.382,87131,779.382,0.941828596287703
87144,NM,AZNM,779.382,87144,779.382,0.941828596287703
87151,NM,AZNM,779.382,87151,779.382,0.941828596287703
87153,NM,AZNM,779.382,87153,779.382,0.941828596287703
87154,NM,AZNM,779.382,87154,779.382,0.941828596287703
87158,NM,AZNM,779.382,87158,779.382,0.941828596287703
87174,NM,AZNM,779.382,87174,779.382,0.941828596287703
87176,NM,AZNM,779.382,87176,779.382,0.941828596287703
87181,NM,AZNM,779.382,87181,779.382,0.941828596287703
87184,NM,AZNM,779.382,87184,779.382,0.941828596287703
87185,NM,AZNM,779.382,87185,779.382,0.941828596287703
87187,NM,AZNM,779.382,87187,779.382,0.941828596287703
87190,NM,AZNM,779.382,87190,779.382,0.941828596287703
87191,NM,AZNM,779.382,87191,779.382,0.941828596287703
87192,NM,AZNM,779.382,87192,779.382,0.941828596287703
87193,NM,AZNM,779.382,87193,779.382,0.941828596287703
87194,NM,AZNM,779.382,87194,779.382,0.941828596287703
87195,NM,AZNM,779.382,87195,779.382,0.941828596287703
87196,NM,AZNM,779.382,87196,779.382,0.941828596287703
87197,NM,AZNM,779.382,87197,779.382,0.941828596287703
87198,NM,AZNM,779.382,87198,779.382,0.941828596287703
87199,NM,AZNM,779.382,87199,779.382,0.941828596287703
87301,NM,AZNM,779.382,87301,779.382,0.941828596287703
87302,NM,AZNM,779.382,87302,779.382,0.941828596287703
87305,NM,NWPP,605.872,87305,605.872,0.732153905645785
87310,NM,NWPP,605.872,87310,605.872,0.732153905645785
87311,NM,AZNM,779.382,87311,779.382,0.941828596287703
87312,NM,NWPP,605.872,87312,605.872,0.732153905645785
87313,NM,AZNM,779.382,87313,779.382,0.941828596287703
87315,NM,AZNM,779.382,87315,779.382,0.941828596287703
87316,NM,AZNM,779.382,87316,779.382,0.941828596287703
87317,NM,NWPP,605.872,87317,605.872,0.732153905645785
87319,NM,NWPP,605.872,87319,605.872,0.732153905645785
87320,NM,NWPP,605.872,87320,605.872,0.732153905645785
87321,NM,AZNM,779.382,87321,779.382,0.941828596287703
87322,NM,AZNM,779.382,87322,779.382,0.941828596287703
87323,NM,AZNM,779.382,87323,779.382,0.941828596287703
87325,NM,NWPP,605.872,87325,605.872,0.732153905645785
87326,NM,AZNM,779.382,87326,779.382,0.941828596287703
87327,NM,AZNM,779.382,87327,779.382,0.941828596287703
87328,NM,NWPP,605.872,87328,605.872,0.732153905645785
87347,NM,AZNM,779.382,87347,779.382,0.941828596287703
87357,NM,AZNM,779.382,87357,779.382,0.941828596287703
87364,NM,NWPP,605.872,87364,605.872,0.732153905645785
87365,NM,AZNM,779.382,87365,779.382,0.941828596287703
87375,NM,NWPP,605.872,87375,605.872,0.732153905645785
87401,NM,AZNM,779.382,87401,779.382,0.941828596287703
87402,NM,AZNM,779.382,87402,779.382,0.941828596287703
87410,NM,NWPP,605.872,87410,605.872,0.732153905645785
87412,NM,AZNM,779.382,87412,779.382,0.941828596287703
87413,NM,AZNM,779.382,87413,779.382,0.941828596287703
87415,NM,AZNM,779.382,87415,779.382,0.941828596287703
87416,NM,NWPP,605.872,87416,605.872,0.732153905645785
87417,NM,NWPP,605.872,87417,605.872,0.732153905645785
87418,NM,RMPA,1131.733,87418,1131.733,1.3676201179427687
87419,NM,AZNM,779.382,87419,779.382,0.941828596287703
87420,NM,NWPP,605.872,87420,605.872,0.732153905645785
87421,NM,NWPP,605.872,87421,605.872,0.732153905645785
87455,NM,NWPP,605.872,87455,605.872,0.732153905645785
87461,NM,NWPP,605.872,87461,605.872,0.732153905645785
87499,NM,NWPP,605.872,87499,605.872,0.732153905645785
87501,NM,AZNM,779.382,87501,779.382,0.941828596287703
87502,NM,AZNM,779.382,87502,779.382,0.941828596287703
87503,NM,AZNM,779.382,87503,779.382,0.941828596287703
87504,NM,AZNM,779.382,87504,779.382,0.941828596287703
87505,NM,AZNM,779.382,87505,779.382,0.941828596287703
87506,NM,AZNM,779.382,87506,779.382,0.941828596287703
87507,NM,AZNM,779.382,87507,779.382,0.941828596287703
87508,NM,AZNM,779.382,87508,779.382,0.941828596287703
87509,NM,AZNM,779.382,87509,779.382,0.941828596287703
87510,NM,AZNM,779.382,87510,779.382,0.941828596287703
87511,NM,AZNM,779.382,87511,779.382,0.941828596287703
87512,NM,AZNM,779.382,87512,779.382,0.941828596287703
87513,NM,AZNM,779.382,87513,779.382,0.941828596287703
87514,NM,AZNM,779.382,87514,779.382,0.941828596287703
87515,NM,AZNM,779.382,87515,779.382,0.941828596287703
87516,NM,AZNM,779.382,87516,779.382,0.941828596287703
87517,NM,AZNM,779.382,87517,779.382,0.941828596287703
87518,NM,AZNM,779.382,87518,779.382,0.941828596287703
87519,NM,AZNM,779.382,87519,779.382,0.941828596287703
87520,NM,AZNM,779.382,87520,779.382,0.941828596287703
87521,NM,AZNM,779.382,87521,779.382,0.941828596287703
87522,NM,AZNM,779.382,87522,779.382,0.941828596287703
87523,NM,AZNM,779.382,87523,779.382,0.941828596287703
87524,NM,AZNM,779.382,87524,779.382,0.941828596287703
87525,NM,AZNM,779.382,87525,779.382,0.941828596287703
87527,NM,AZNM,779.382,87527,779.382,0.941828596287703
87528,NM,AZNM,779.382,87528,779.382,0.941828596287703
87529,NM,AZNM,779.382,87529,779.382,0.941828596287703
87530,NM,AZNM,779.382,87530,779.382,0.941828596287703
87531,NM,AZNM,779.382,87531,779.382,0.941828596287703
87532,NM,AZNM,779.382,87532,779.382,0.941828596287703
87533,NM,AZNM,779.382,87533,779.382,0.941828596287703
87535,NM,AZNM,779.382,87535,779.382,0.941828596287703
87537,NM,AZNM,779.382,87537,779.382,0.941828596287703
87538,NM,AZNM,779.382,87538,779.382,0.941828596287703
87539,NM,AZNM,779.382,87539,779.382,0.941828596287703
87540,NM,AZNM,779.382,87540,779.382,0.941828596287703
87543,NM,AZNM,779.382,87543,779.382,0.941828596287703
87544,NM,AZNM,779.382,87544,779.382,0.941828596287703
87545,NM,AZNM,779.382,87545,779.382,0.941828596287703
87547,NM,AZNM,779.382,87547,779.382,0.941828596287703
87548,NM,AZNM,779.382,87548,779.382,0.941828596287703
87549,NM,AZNM,779.382,87549,779.382,0.941828596287703
87551,NM,AZNM,779.382,87551,779.382,0.941828596287703
87552,NM,AZNM,779.382,87552,779.382,0.941828596287703
87553,NM,AZNM,779.382,87553,779.382,0.941828596287703
87554,NM,AZNM,779.382,87554,779.382,0.941828596287703
87556,NM,AZNM,779.382,87556,779.382,0.941828596287703
87557,NM,AZNM,779.382,87557,779.382,0.941828596287703
87558,NM,AZNM,779.382,87558,779.382,0.941828596287703
87560,NM,AZNM,779.382,87560,779.382,0.941828596287703
87562,NM,AZNM,779.382,87562,779.382,0.941828596287703
87564,NM,AZNM,779.382,87564,779.382,0.941828596287703
87565,NM,AZNM,779.382,87565,779.382,0.941828596287703
87566,NM,AZNM,779.382,87566,779.382,0.941828596287703
87567,NM,AZNM,779.382,87567,779.382,0.941828596287703
87569,NM,AZNM,779.382,87569,779.382,0.941828596287703
87571,NM,AZNM,779.382,87571,779.382,0.941828596287703
87573,NM,AZNM,779.382,87573,779.382,0.941828596287703
87574,NM,AZNM,779.382,87574,779.382,0.941828596287703
87575,NM,AZNM,779.382,87575,779.382,0.941828596287703
87576,NM,AZNM,779.382,87576,779.382,0.941828596287703
87577,NM,AZNM,779.382,87577,779.382,0.941828596287703
87578,NM,AZNM,779.382,87578,779.382,0.941828596287703
87579,NM,AZNM,779.382,87579,779.382,0.941828596287703
87580,NM,AZNM,779.382,87580,779.382,0.941828596287703
87581,NM,AZNM,779.382,87581,779.382,0.941828596287703
87582,NM,AZNM,779.382,87582,779.382,0.941828596287703
